	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	TotalTests	Population	Continent
47	Kazakhstan	1,299,566	+483	13,545	+2	1,256,284	+2,243	29,737	528	11,575,012	19,144,680	Asia
48	Ireland	1,280,058	+3,280	6,452	+9	1,139,525	+4,705	134,081	54	11,250,554	5,028,157	Europe
49	Morocco	1,159,584	+427	15,922	+6	1,137,129	+1,232	6,533	293	11,237,010	37,627,346	Africa
50	Norway	1,151,288		1,549		88,952		1,060,787	29	9,852,076	5,490,707	Europe
51	Bulgaria	1,072,493		35,185		798,303		239,005	549	9,061,645	6,862,712	Europe
52	Cuba	1,066,414	+467	8,491		1,054,895	+629	3,028	34	12,920,253	11,315,285	North America
53	Lebanon	1,053,252	+3,978	10,007	+18	682,977		360,268	186	4,795,578	6,775,346	Asia
54	Croatia	1,043,334	+1,810	14,905	+36	1,008,893	+3,149	19,536	122	4,478,083	4,063,772	Europe
55	Tunisia	988,329		27,512		930,260		30,557	234	4,286,361	12,021,247	Africa
56	Nepal	976,105	+299	11,928	+3	953,430	+831	10,747	100	5,391,603	29,995,086	Asia
57	Bolivia	890,420	+673	21,386	+8	779,958	+4,139	89,076	220	2,669,468	11,933,873	South America
58	Belarus	890,089	+2,507	6,392	+17	875,660	+2,307	8,037		12,317,444	9,444,229	Europe
59	Slovenia	882,364	+2,235	6,236	+14	805,332	+11,183	70,796	111	2,561,069	2,079,406	Europe
60	UAE	875,884	+626	2,297	+1	823,015	+1,994	50,572		135,081,553	10,086,183	Asia
61	Lithuania	871,458	+5,830	8,293	+18	774,782	+12,596	88,383	109	7,672,630	2,660,033	Europe
62	Ecuador	819,886		35,160		N/A	N/A	N/A	759	2,470,170	18,081,904	South America
63	Uruguay	819,379		6,895		776,042		36,442	153	5,626,554	3,493,460	South America
64	Costa Rica	790,444		7,936		640,463		142,045	141	3,635,922	5,170,341	North America
65	Azerbaijan	777,804	+2,372	9,280	+19	742,326	+4,616	26,198		6,501,358	10,288,929	Asia
66	Guatemala	758,303		16,794		694,801		46,708	5	3,850,595	18,458,315	North America
67	Panama	751,241		8,029		733,330		9,882	83	5,466,002	4,426,024	North America
68	Saudi Arabia	741,237	+841	8,987	+1	715,514	+1,922	16,736	764	40,321,585	35,701,969	Asia
69	Sri Lanka	639,297	+1,254	16,055	+31	607,326	+207	15,916		6,282,076	21,560,394	Asia
70	Paraguay	636,520		18,237		597,468		20,815	156	2,509,860	7,276,079	South America
71	Finland	625,463	+2,746	2,329		46,000		577,134	35	9,848,299	5,554,827	Europe
72	Singapore	622,293	+26,032	956	+4	557,450	+17,163	63,887	19	23,014,851	5,925,740	Asia
73	Kuwait	615,397	+1,053	2,531	+1	597,655	+2,499	15,211	79	7,505,795	4,374,030	Asia
74	Latvia	601,600	+11,837	5,130	+17	448,791	+3,637	147,679	85	6,598,792	1,852,018	Europe
75	Dominican Republic	572,596	+306	4,360	+3	566,088	+447	2,148	51	3,084,256	11,026,156	North America
76	Myanmar	572,127	+3,563	19,344	+6	526,338	+1,458	26,445		6,969,070	55,007,547	Asia
77	Palestine	571,662	+1,307	5,162	+12	537,503	+3,400	28,997	108	3,078,533	5,295,564	Asia
78	Venezuela	511,772		5,616		495,739		10,417	230	3,359,014	28,303,882	South America
79	Bahrain	498,637	+3,425	1,442	+4	465,393	+4,823	31,802	24	9,326,413	1,798,332	Asia
80	Moldova	496,976	+1,561	11,136	+19	467,312		18,528	101	2,975,762	4,018,596	Europe
81	Libya	488,567	+1,815	6,210	+9	447,766	+3,160	34,591	125	2,399,577	7,024,363	Africa
82	Egypt	471,460		23,806		402,121		45,533	122	3,693,367	105,495,301	Africa
83	Ethiopia	468,426	+47	7,441	+1	409,907	+103	51,078	118	4,475,039	119,625,184	Africa
84	Estonia	467,989	+5,267	2,181	+11	337,940	+2,317	127,868	22	3,054,727	1,327,997	Europe
85	Mongolia	461,796	+449	2,159		313,256		146,381	192	4,030,048	3,364,763	Asia
86	Armenia	416,510	+753	8,354	+16	394,155	+2,075	14,001		2,870,459	2,972,320	Asia
87	Honduras	408,456		10,671		127,289		270,496	105	1,263,329	10,162,639	North America
88	Oman	377,948	+1,224	4,238	+4	359,445	+1,312	14,265	67	25,000,000	5,319,220	Asia
89	Bosnia and Herzegovina	369,230	+495	15,362	+35	192,218		161,650		1,689,874	3,247,371	Europe
90	Qatar	355,032	+394	662		349,042	+598	5,328	39	3,361,418	2,807,805	Asia
91	Kenya	322,702		5,638		303,107		13,957	3	3,335,912	55,710,574	Africa
92	Zambia	311,264		3,945		305,425		1,894	32	3,249,202	19,226,584	Africa
93	Cyprus	311,239	+2,322	830	+5	124,370		186,039	60	9,477,138	1,221,762	Asia
94	North Macedonia	294,407	+848	8,937	+22	279,695	+1,369	5,775		1,874,917	2,083,234	Europe
95	Réunion	278,494		603		250,359		27,532	49	1,424,291	905,783	Africa
96	Albania	270,455	+85	3,451	+6	263,035	+633	3,969	14	1,730,246	2,872,647	Europe
